state,x,y
Andhra Pradesh,-85,-202
Arunachal Pradesh,296,128
Assam,231,80
Bihar,75,62
Chhattisgarh,-39.0,-59.0
Goa,-191,-200
Gujarat,-245,-3
Haryana,-140,150
Himachal Pradesh,-122,225
Jammu and Kashmir,-150.0,299.0
Jharkhand,42,12
Karnataka,-173,-223
Kerala,-136,-334
Madhya Pradesh,-150,-7
Maharashtra,-209,-109
Manipur,259,31
Meghalaya,183,52
Mizoram,235,-8
Nagaland,277,72
Odisha,19,-72
Punjab,-181,185
Rajasthan,-265,82
Sikkim,133,106
Tamil Nadu,-121,-306
Telangana,-105,-139
Tripura,205,4
Uttarakhand,-98,179
Uttar Pradesh,-69,99
West Bengal,100,-1
